"NZ_16_ASCII","FIN_ID","SKRJ_ID","HAFAS_ID","EPA_ID"
"KomaÒcza Let.","3120","084111","5101690","01041"
"BRANIEWO GR","8801","011361","",""
"MIEROSZ”W GR","8813","055418","",""
"SZCZ.GUM/GRAM GR","8816","000364","",""
"ZEBRZYDOWICE GR","8821","075689","",""
"Granica PaÒstwa","0825","067934","5100021",""
"Bobowa","3036","081091","5100508","00302"
"Police Zak≥ad","8286","000711","5102693",""
"Banie","8022","000968","",""
"Osetnica","6322","054056","5102616",""
"ROKITKI","6389","054205","5103142","01072"
"Lubawka","6241","055509","5101944",""
"Kwieciszowice","6226","055855","5101849",""
"Wierna Rzeka","2281","064774","5104082",""
"Øelis≥awice","2309","064824","5104294","00361"
"Gocza≥kÛw","6128","056366","5101098",""
"Skoroszyce","6409","056846","5103588",""
"Bierkowice","6035","057356","5100466",""
"åwiÍta Katarzyna","6466","058230","5103699",""
"Oborniki ålπskie","6305","058784","5100182","00550"
"MrozÛw","6282","058990","5102335",""
"Brzeg Dolny","0012","060269","5100004","00032"
"Komprachcice","6194","060723","5101681",""
"Opole Gos≥awice","6316","060863","5102589",""
"Rogalice","6386","061176","5103137",""
"Smardy","6411","061267","5103474",""
"Kad≥ub","6180","061788","5101562",""
"Wyszomierz","8450","001867","5104214",""
"Dobies≥aw","8095","002014","",""
"Barczπca","1032","039081","5100666",""
"SulÍcin","7486","026880","5103658",""
"Kolesin","7199","027342","5101582",""
"NietkÛw","7307","027631","5102448",""
"BogaczÛw","7043","027888","5100421","00290"
"åWIEBODZIN","0215","028100","5103284","00121"
"Kupienino","7233","028142","5101835",""
"Chrzypsko Wiel.","7078","028894","5100812",""
"Mia≥y","7278","028993","5102234",""
"Cz≥opa","8082","029397","",""
"PoznaÒ Garbary","7389","029892","5102737","00099"
"Przysieczyn","7409","031468","5103006",""
"PπtnÛw","7356","033282","",""
"MiÍdzyborÛw","1275","034330","5102205","00468"
"Wieliszew","1518","036582","5104220",""
"M≥awa Miasto","5387","037218","5102292","00090"
"CzachÛwek årodk.","1089","040378","",""
"Konin ØagaÒski","7207","041640","5101894",""
"Gola","7137","043638","",""
"£πkociny","7263","044073","5101929",""
"Ksiπø Wlkp.","7229","045138","5101785",""
"£Ûdü Niciarniana","1260","046433","5102081",""
"Pabianice","0148","046581","5100188","00570"
"Glinnik","1130","046938","5101208",""
"Wykno","1538","047548","5104206",""
"LesiÛw","2128","048439","5101994",""
"GrabÛw N/Pil","2076","048546","5101086",""
"ChynÛw","2049","048595","5100850",""
"Jedlnia-Letnisko","2094","048751","5101395",""
"AntoniÛw","2021","048892","5100341",""
"GOLAB","2072","050054","5101175",""
"Motycz Leúny","2157","050161","5102355",""
"Dorohusk","0706","051102","5100974","00223"
"Kosiorki","1210","039479","5101793",""
"KosÛw Lacki","1211","039677","5101792",""
"Kownatki","1216","040063","5101865",""
"Krzna","1225","040188","",""
"Kamienna Karczma","5261","008987","5101508",""
"OLSZTYN G£”WNY","0140","009209","5100045","00083"
"Marcinkowo","5371","009381","5102201","00871"
"OLSZTYN GUTKOWO","5220","009514","5101293","01063"
"Sorkwity","5580","009886","5103539","00922"
"Bagienice","5026","009894","",""
"Stare Juchy","1431","011833","5103628","00656"
"Pisz","0436","012369","5100191","00800"
"Kaletnik","1185","012856","",""
"MyúlibÛrz","8243","013656","5102377",""
"Witnica","8440","014043","5100261","00751"
"Pi≥a Podlasie","8273","015560","5102872",""
"Niek≥onice","8245","003947","5102441",""
"Grzmiπca","8136","003988","5100110","00385"
"KOSZALIN","0081","004408","5100027","00050"
"åliwice","5626","017350","5103457",""
"Wojtal","5698","017574","5104040",""
"SOMONINO","5577","017780","5103534",""
"Miechucino","5379","018119","5102253",""
"PiotrkÛw Kuj.","5481","019190","5102768","00879"
"Otok","5456","019356","5102631",""
"CZEREMCHA","0424","025205","5100863","01102"
"Policzna","1363","025262","5102863",""
"BoczÛw","7041","025973","5100397",""
"MA£KINIA","0119","038307","5100087","00076"
"Zabieøki","1540","038976","5104275",""
"Prusim","7402","027037","5102944",""
"BudachÛw","7060","027565","5100600",""
"Pliszka","7369","027573","5102801",""
"PalÍdzie","7347","028753","5102796",""
"WÛlka","7547","030098","5104111",""
"Pierzchno","7365","030221","5102997",""
"Wπgrowiec","0233","031302","5104001",""
"SIERPC","0184","032706","5103410","00646"
"£OWICZ PRZEDM.","1256","033050","5102077","00794"
"KONIN","0079","033100","5100026","00049"
"Konin ZachÛd","7206","033357","5101895",""
"Boøa Wola","1063","034397","5100357",""
"Nowy DwÛr Maz","1309","036459","5102409","00518"
"Legionowo Przyst","1234","036517","5102099",""
"Czaple Chwaliszo","7092","041798","",""
